pair,i_a,j_b,center_dist,a_noise_sigma,a_n_spikes,a_snr_median,a_snr_p90,a_snr_max,a_spectral_hf_snr,a_psd_floor,b_noise_sigma,b_n_spikes,b_snr_median,b_snr_p90,b_snr_max,b_spectral_hf_snr,b_psd_floor,corr_raw,corr_hp,coh_hi
0,0,0,0.000,0.0229054,19,4.49405,5.43571,6.15073,2.06427,8.96442e-07,0.0240691,26,4.53153,5.66543,6.2711,2.37088,9.91897e-07,0.999264,0.969401,0.925249
1,1,1,0.000,0.0318595,0,nan,nan,nan,1.67054,1.61877e-06,0.0350542,1,4.29448,4.29448,4.29448,1.95591,1.88977e-06,0.996103,0.945218,0.859846
2,2,2,0.000,0.0357236,5,4.14519,4.38358,4.38625,0.880159,2.43337e-06,0.0378695,6,4.16642,4.37763,4.47064,0.940548,2.69741e-06,0.993872,0.950249,0.896167
3,3,3,0.000,0.0585962,0,nan,nan,nan,0.553805,6.98167e-06,0.0601005,0,nan,nan,nan,0.582567,7.30204e-06,0.994289,0.979124,0.956563
4,4,4,0.000,0.0336703,1,4.11708,4.11708,4.11708,1.27097,2.08404e-06,0.035878,2,4.15112,4.18878,4.19819,1.39857,2.2159e-06,0.997275,0.966595,0.925704
5,5,5,0.000,0.0578854,2,4.55814,4.79112,4.84937,0.718813,6.32505e-06,0.059313,3,4.5235,4.87826,4.96695,0.786651,6.53719e-06,0.996952,0.979092,0.957348
6,6,6,0.000,0.0218146,14,4.40998,5.35364,5.80972,1.46119,8.86209e-07,0.0218146,14,4.40998,5.35364,5.80972,1.46119,8.86209e-07,1,1,1
7,7,7,0.000,0.0311612,3,4.04504,4.99537,5.23295,1.49537,1.64498e-06,0.0329489,5,4.37161,5.12453,5.57972,1.47332,1.85455e-06,0.997448,0.960097,0.915986
8,8,8,0.000,0.0381854,1,4.34895,4.34895,4.34895,0.233519,3.20437e-06,0.0402224,1,4.43729,4.43729,4.43729,0.245888,3.44425e-06,0.993112,0.95441,0.909729
9,9,9,0.000,0.192564,31,5.04411,6.62536,8.26296,1.8449,7.19146e-05,0.192564,31,5.04411,6.62536,8.26296,1.8449,7.19146e-05,1,1,1
