pair,i_py,j_ml,center_dist,py_noise_sigma,py_n_spikes,py_snr_median,py_snr_p90,py_snr_max,py_spectral_hf_snr,py_psd_floor,ml_noise_sigma,ml_n_spikes,ml_snr_median,ml_snr_p90,ml_snr_max,ml_spectral_hf_snr,ml_psd_floor,corr_raw,corr_hp,coh_hi
0,0,61,0.000,0.0240691,26,4.53153,5.66543,6.2711,2.37088,9.91897e-07,0.0240691,26,4.53153,5.66543,6.2711,2.37088,9.91897e-07,1,1,1
1,1,87,0.000,0.0350542,1,4.29448,4.29448,4.29448,1.95591,1.88977e-06,0.0350542,1,4.29448,4.29448,4.29448,1.95591,1.88977e-06,1,1,1
2,2,97,0.000,0.0378695,6,4.16642,4.37763,4.47064,0.940548,2.69741e-06,0.0378695,6,4.16642,4.37763,4.47064,0.940548,2.69741e-06,1,1,1
3,3,117,0.000,0.0601005,0,nan,nan,nan,0.582567,7.30204e-06,0.0601005,0,nan,nan,nan,0.582567,7.30204e-06,1,1,1
4,4,155,0.000,0.035878,2,4.15112,4.18878,4.19819,1.39857,2.2159e-06,0.035878,2,4.15112,4.18878,4.19819,1.39857,2.2159e-06,1,1,1
5,5,198,0.000,0.059313,3,4.5235,4.87826,4.96695,0.786651,6.53719e-06,0.059313,3,4.5235,4.87826,4.96695,0.786651,6.53719e-06,1,1,1
6,6,204,0.000,0.0218146,14,4.40998,5.35364,5.80972,1.46119,8.86209e-07,0.0218146,14,4.40998,5.35364,5.80972,1.46119,8.86209e-07,1,1,1
7,7,265,0.000,0.0329489,5,4.37161,5.12453,5.57972,1.47332,1.85455e-06,0.0329489,5,4.37161,5.12453,5.57972,1.47332,1.85455e-06,1,1,1
8,8,264,0.000,0.0402224,1,4.43729,4.43729,4.43729,0.245888,3.44425e-06,0.0402224,1,4.43729,4.43729,4.43729,0.245888,3.44425e-06,1,1,1
9,9,290,0.000,0.192564,31,5.04411,6.62536,8.26296,1.8449,7.19146e-05,0.192564,31,5.04411,6.62536,8.26296,1.8449,7.19146e-05,1,1,1
10,10,291,0.000,0.127683,10,4.981,9.07456,9.73548,0.949627,3.4778e-05,0.127683,10,4.981,9.07456,9.73548,0.949627,3.4778e-05,1,1,1
11,11,329,0.000,0.166374,23,7.43564,9.22545,10.7735,2.61459,5.33905e-05,0.166374,23,7.43564,9.22545,10.7735,2.61459,5.33905e-05,1,1,1
12,12,313,0.000,0.187857,22,4.91697,6.67294,7.86255,1.78563,6.59411e-05,0.187857,22,4.91697,6.67294,7.86255,1.78563,6.59411e-05,1,1,1
13,13,25,0.000,0.069581,0,nan,nan,nan,1.16307,8.82748e-06,0.069581,0,nan,nan,nan,1.16307,8.82748e-06,1,1,1
14,14,133,0.000,0.159846,39,8.09242,9.83519,12.9754,5.77248,4.32285e-05,0.159846,39,8.09242,9.83519,12.9754,5.77248,4.32285e-05,1,1,1
15,15,203,0.000,0.0587184,1,4.84695,4.84695,4.84695,0.603557,6.81795e-06,0.0587184,1,4.84695,4.84695,4.84695,0.603557,6.81795e-06,1,1,1
16,16,241,0.000,0.0772787,0,nan,nan,nan,0.377206,1.23669e-05,0.0772787,0,nan,nan,nan,0.377206,1.23669e-05,1,1,1
17,17,240,0.000,0.0377437,164,5.19942,6.93842,10.0805,0.12735,1.2722e-05,0.0377437,164,5.19942,6.93842,10.0805,0.12735,1.2722e-05,1,1,1
18,18,193,0.000,0.049099,21,4.55881,5.08021,5.42811,1.42854,4.37926e-06,0.049099,21,4.55881,5.08021,5.42811,1.42854,4.37926e-06,1,1,1
19,19,140,0.000,0.0344318,8,4.51234,5.2223,5.23907,1.27918,2.14659e-06,0.0344318,8,4.51234,5.2223,5.23907,1.27918,2.14659e-06,1,1,1
20,20,238,0.000,0.0903192,0,nan,nan,nan,0.4119,1.82561e-05,0.0903192,0,nan,nan,nan,0.4119,1.82561e-05,1,1,1
21,21,62,0.000,0.0335352,14,4.71025,5.17992,5.80816,2.09926,1.84834e-06,0.0335352,14,4.71025,5.17992,5.80816,2.09926,1.84834e-06,1,1,1
22,22,165,0.000,0.180259,42,6.61156,8.01714,9.13286,2.46782,6.42998e-05,0.180259,42,6.61156,8.01714,9.13286,2.46782,6.42998e-05,1,1,1
23,23,50,0.000,0.161315,39,5.17727,7.38818,9.75289,2.43092,4.63564e-05,0.161315,39,5.17727,7.38818,9.75289,2.43092,4.63564e-05,1,1,1
24,24,349,0.000,0.0235549,31,4.56954,5.48293,6.25969,1.72229,1.06355e-06,0.0235549,31,4.56954,5.48293,6.25969,1.72229,1.06355e-06,1,1,1
25,25,185,0.000,0.0570312,9,4.82558,5.79503,7.06443,0.69349,6.30894e-06,0.0570312,9,4.82558,5.79503,7.06443,0.69349,6.30894e-06,1,1,1
26,26,65,0.000,0.0327581,1,4.05958,4.05958,4.05958,0.366049,2.40799e-06,0.0327581,1,4.05958,4.05958,4.05958,0.366049,2.40799e-06,1,1,1
27,27,141,0.000,0.0240714,27,4.97651,5.74248,6.54813,1.67794,1.06322e-06,0.0240714,27,4.97651,5.74248,6.54813,1.67794,1.06322e-06,1,1,1
28,28,330,0.000,0.0472499,6,4.20177,5.0194,5.25328,1.30146,4.11372e-06,0.0472499,6,4.20177,5.0194,5.25328,1.30146,4.11372e-06,1,1,1
29,29,278,0.000,0.129758,39,5.11543,8.5442,9.32249,1.47587,3.22344e-05,0.129758,39,5.11543,8.5442,9.32249,1.47587,3.22344e-05,1,1,1
30,30,82,0.000,0.0251259,13,5.00049,5.597,5.69425,1.44317,1.20128e-06,0.0251259,13,5.00049,5.597,5.69425,1.44317,1.20128e-06,1,1,1
31,31,191,0.000,0.0307963,9,4.55305,5.30391,7.08118,1.24995,1.80024e-06,0.0307963,9,4.55305,5.30391,7.08118,1.24995,1.80024e-06,1,1,1
32,32,171,0.000,0.120458,36,5.96782,7.83565,10.2302,1.9782,3.1095e-05,0.120458,36,5.96782,7.83565,10.2302,1.9782,3.1095e-05,1,1,1
33,33,90,0.000,0.175643,27,4.6456,7.25798,8.05991,2.19631,5.6715e-05,0.175643,27,4.6456,7.25798,8.05991,2.19631,5.6715e-05,1,1,1
34,34,252,0.000,0.142718,20,4.6762,6.82584,8.55362,1.19651,3.95698e-05,0.142718,20,4.6762,6.82584,8.55362,1.19651,3.95698e-05,1,1,1
35,35,175,0.000,0.0136854,23,4.76331,6.18788,7.89469,3.77184,2.64395e-07,0.0136854,23,4.76331,6.18788,7.89469,3.77184,2.64395e-07,1,1,1
36,36,26,0.000,0.0384268,26,4.95016,6.35023,7.03047,2.09268,2.57923e-06,0.0384268,26,4.95016,6.35023,7.03047,2.09268,2.57923e-06,1,1,1
37,37,126,0.000,0.0491651,7,4.36367,5.54346,5.90289,0.776486,4.60074e-06,0.0491651,7,4.36367,5.54346,5.90289,0.776486,4.60074e-06,1,1,1
38,38,19,0.000,0.0454531,1,4.44465,4.44465,4.44465,0.590812,4.43284e-06,0.0454531,1,4.44465,4.44465,4.44465,0.590812,4.43284e-06,1,1,1
39,39,230,0.000,0.0367638,19,5.18712,6.19887,7.0765,1.30253,2.71417e-06,0.0367638,19,5.18712,6.19887,7.0765,1.30253,2.71417e-06,1,1,1
40,40,279,0.000,0.0618096,22,4.98286,5.91248,6.82112,1.19207,7.75745e-06,0.0618096,22,4.98286,5.91248,6.82112,1.19207,7.75745e-06,1,1,1
41,41,316,0.000,0.0326304,11,4.65835,5.13671,5.33903,1.35643,2.1015e-06,0.0326304,11,4.65835,5.13671,5.33903,1.35643,2.1015e-06,1,1,1
42,42,335,0.000,0.0516332,7,4.26865,5.00817,5.08331,0.771557,5.60679e-06,0.0516332,7,4.26865,5.00817,5.08331,0.771557,5.60679e-06,1,1,1
43,43,22,0.000,0.0281432,4,4.39984,4.87785,5.05719,1.2577,1.4804e-06,0.0281432,4,4.39984,4.87785,5.05719,1.2577,1.4804e-06,1,1,1
44,44,228,0.000,0.173854,39,5.01986,7.03164,8.41498,2.48309,5.40516e-05,0.173854,39,5.01986,7.03164,8.41498,2.48309,5.40516e-05,1,1,1
45,45,160,0.000,0.0896309,0,nan,nan,nan,0.337493,1.5493e-05,0.0896309,0,nan,nan,nan,0.337493,1.5493e-05,1,1,1
46,46,29,0.000,0.197187,7,6.03432,7.0094,7.15168,1.58319,6.66021e-05,0.197187,7,6.03432,7.0094,7.15168,1.58319,6.66021e-05,1,1,1
47,47,30,0.000,0.146658,4,6.74209,6.98514,7.026,0.347101,4.79679e-05,0.146658,4,6.74209,6.98514,7.026,0.347101,4.79679e-05,1,1,1
48,48,134,0.000,0.149553,43,5.44143,7.42775,9.68585,2.00756,4.48354e-05,0.149553,43,5.44143,7.42775,9.68585,2.00756,4.48354e-05,1,1,1
49,49,146,0.000,0.0491762,7,4.17161,4.92261,5.4995,0.882627,4.70774e-06,0.0491762,7,4.17161,4.92261,5.4995,0.882627,4.70774e-06,1,1,1
50,50,276,0.000,0.034408,11,4.47071,5.32837,6.43653,0.890831,2.70114e-06,0.034408,11,4.47071,5.32837,6.43653,0.890831,2.70114e-06,1,1,1
51,51,317,0.000,0.0291117,26,4.30796,5.83333,6.43708,2.3512,1.4956e-06,0.0291117,26,4.30796,5.83333,6.43708,2.3512,1.4956e-06,1,1,1
52,52,199,0.000,0.0330546,14,4.65818,5.11403,5.49432,1.40554,2.09807e-06,0.0330546,14,4.65818,5.11403,5.49432,1.40554,2.09807e-06,1,1,1
53,53,118,0.000,0.0351054,30,4.61241,5.41806,6.7612,1.24312,2.44362e-06,0.0351054,30,4.61241,5.41806,6.7612,1.24312,2.44362e-06,1,1,1
54,54,181,0.000,0.0273025,2,4.25467,4.36394,4.39125,0.853305,1.48972e-06,0.0273025,2,4.25467,4.36394,4.39125,0.853305,1.48972e-06,1,1,1
55,55,93,0.000,0.19334,22,5.08858,6.61033,7.46295,0.834222,7.91598e-05,0.19334,22,5.08858,6.61033,7.46295,0.834222,7.91598e-05,1,1,1
56,56,94,0.000,0.159924,3,6.72259,6.81959,6.84384,0.33309,5.5958e-05,0.159924,3,6.72259,6.81959,6.84384,0.33309,5.5958e-05,1,1,1
57,57,201,0.000,0.0174223,19,4.5824,6.45045,7.67161,3.72316,4.24299e-07,0.0174223,19,4.5824,6.45045,7.67161,3.72316,4.24299e-07,1,1,1
58,58,77,0.000,0.0308781,11,4.43556,5.47326,5.93825,2.0661,1.60762e-06,0.0308781,11,4.43556,5.47326,5.93825,2.0661,1.60762e-06,1,1,1
59,59,144,0.000,0.0466311,16,5.64803,7.12816,7.19731,1.37291,4.13815e-06,0.0466311,16,5.64803,7.12816,7.19731,1.37291,4.13815e-06,1,1,1
60,60,268,0.000,0.054797,19,4.60781,5.11431,5.75388,1.09139,6.22736e-06,0.054797,19,4.60781,5.11431,5.75388,1.09139,6.22736e-06,1,1,1
61,61,176,0.000,0.0674515,7,4.62802,5.05874,5.42715,0.993819,8.38714e-06,0.0674515,7,4.62802,5.05874,5.42715,0.993819,8.38714e-06,1,1,1
62,62,179,0.000,0.038861,9,4.51654,4.82839,5.26166,1.63604,2.6121e-06,0.038861,9,4.51654,4.82839,5.26166,1.63604,2.6121e-06,1,1,1
63,63,269,0.000,0.0651426,23,4.55344,5.77757,6.84318,1.19499,8.39852e-06,0.0651426,23,4.55344,5.77757,6.84318,1.19499,8.39852e-06,1,1,1
64,64,325,0.000,0.199093,64,5.67534,7.21634,8.6697,2.84295,7.49533e-05,0.199093,64,5.67534,7.21634,8.6697,2.84295,7.49533e-05,1,1,1
65,65,76,0.000,0.144478,22,5.14371,8.08511,8.88939,1.57671,4.07404e-05,0.144478,22,5.14371,8.08511,8.88939,1.57671,4.07404e-05,1,1,1
